x,y,movement_distance,area_weighted_coverage,uniform_r_alpha_coverage,area_rank,uniform_rank
687.0,434.0,812.603839518372,0.2617486338797814,0.36666666666666664,20,1442
600.0,500.0,781.0249675906655,0.22513661202185792,0.4166666666666667,4055,20
687.0,435.0,813.1383646096155,0.2617486338797814,0.36666666666666664,21,1443
500.0,600.0,781.0249675906655,0.18524590163934426,0.4166666666666667,4101,21
687.0,436.0,813.6737675506075,0.2617486338797814,0.36666666666666664,22,1444
450.0,350.0,570.087712549569,0.1819672131147541,0.4166666666666667,4111,22
687.0,437.0,814.2100466095957,0.2617486338797814,0.36666666666666664,23,1445
500.0,650.0,820.0609733428363,0.18524590163934426,0.4166666666666667,4102,23
687.0,438.0,814.7472000565574,0.2617486338797814,0.36666666666666664,24,1446
550.0,700.0,890.2246907382428,0.1830601092896175,0.4166666666666667,4108,24
687.0,439.0,815.2852261632122,0.2617486338797814,0.36666666666666664,25,1447
550.0,750.0,930.0537618869137,0.1830601092896175,0.4166666666666667,4109,25
687.0,440.0,815.8241232030344,0.2617486338797814,0.36666666666666664,26,1448
630.0,480.0,792.0227269466451,0.24918032786885247,0.4166666666666667,2202,26
687.0,441.0,816.3638894512667,0.2617486338797814,0.36666666666666664,27,1449
630.0,474.0,788.4009132414802,0.24918032786885247,0.4166666666666667,2235,27
687.0,442.0,816.9045231849313,0.2617486338797814,0.36666666666666664,28,1450
630.0,476.0,789.6049645234001,0.24918032786885247,0.4166666666666667,2237,28
688.0,439.0,816.1280536778527,0.2617486338797814,0.36666666666666664,29,1451
630.0,478.0,790.8122406741059,0.24918032786885247,0.4166666666666667,2240,29
688.0,441.0,817.2056044839634,0.2617486338797814,0.36666666666666664,30,1452
630.0,475.0,789.002534850174,0.24918032786885247,0.4166666666666667,2245,30
688.0,443.0,818.2866246004513,0.2617486338797814,0.36666666666666664,31,1453
630.0,477.0,790.2082004130303,0.24918032786885247,0.4166666666666667,2246,31
688.0,445.0,819.3711002958305,0.2617486338797814,0.36666666666666664,32,1454
630.0,479.0,791.417083464844,0.24918032786885247,0.4166666666666667,2247,32
688.0,447.0,820.4590178674374,0.2617486338797814,0.36666666666666664,33,1455
631.0,480.0,792.8183903013351,0.24918032786885247,0.4166666666666667,2248,33
688.0,449.0,821.5503636418159,0.2617486338797814,0.36666666666666664,34,1456
630.0,473.5,788.100406039738,0.24918032786885247,0.4166666666666667,2249,34
688.0,451.0,822.6451239750953,0.2617486338797814,0.36666666666666664,35,1457
630.0,474.5,788.7016229221289,0.24918032786885247,0.4166666666666667,2250,35
689.0,443.0,819.1275846899554,0.2617486338797814,0.36666666666666664,36,1458
630.0,475.5,789.3036487943027,0.24918032786885247,0.4166666666666667,2251,36
689.0,444.0,819.6688355671454,0.2617486338797814,0.36666666666666664,37,1459
630.0,476.5,789.9064818065491,0.24918032786885247,0.4166666666666667,2252,37
689.0,445.0,820.2109484760613,0.2617486338797814,0.36666666666666664,38,1460
630.0,477.5,790.5101201123234,0.24918032786885247,0.4166666666666667,2253,38
689.0,446.0,820.7539217085715,0.2617486338797814,0.36666666666666664,39,1461
630.0,478.5,791.1145618682543,0.24918032786885247,0.4166666666666667,2254,39
