stage,d1,d2,beta_deg,sensor_x,sensor_y,worst_diameter,mean_diameter,worst_epsilon,bounded_all,diameter_pass_all,circle_pass_all,clear_ready_all,epsilon_count
coarse,200.0,400.0,90.5,203.4906141993496,-399.9847692256685,15.784171194475174,15.680205996963446,-1.0,True,True,False,False,101
coarse,200.0,400.0,90.55,203.83966538496006,-399.9815707876196,15.778276861342746,15.682851007096653,-1.0,True,True,False,False,101
coarse,200.0,400.0,90.6,204.1887136464983,-399.97806774620483,15.772392762738058,15.685776131518493,-1.0,True,True,False,False,101
coarse,200.0,400.0,90.65,204.53775871814898,-399.974260104092,15.76651888651915,15.688989893227951,-1.0,True,True,False,False,101
coarse,200.0,400.0,90.7,204.8868003340989,-399.9701478641808,15.760655220584363,15.69248431951262,-1.0,True,True,False,False,101
coarse,200.0,400.0,90.75,205.23583822853777,-399.9657310296028,15.754801752871868,15.696268338014562,-1.0,True,True,False,False,101
coarse,200.0,400.0,90.8,205.5848721356581,-399.9610096037217,15.748958471359858,15.70033357211739,-1.0,True,True,False,False,101
coarse,200.0,400.0,90.85,205.93390178965532,-399.955983590133,15.743125364066149,15.704689352915098,-1.0,True,True,False,False,101
coarse,200.0,400.0,90.9,206.2829269247283,-399.95065299266423,15.737302419048463,15.709326901082779,-1.0,True,True,False,False,101
coarse,200.0,400.0,90.95,206.63194727507903,-399.94501781537497,15.731489624404206,15.71425594997089,-1.0,True,True,False,False,101
coarse,200.0,400.0,91.0,206.98096257491338,-399.9390780625565,15.725686968270306,15.719467318745806,1.0,True,True,False,False,101
coarse,200.0,400.0,91.05,207.32997255844109,-399.9328337387323,15.731584281272891,15.724971141814606,1.0,True,True,False,False,101
coarse,200.0,400.0,91.1,207.6789769598758,-399.9262848486577,15.737491995536908,15.730636645641605,1.0,True,True,False,False,101
coarse,200.0,400.0,91.15,208.02797551343562,-399.9194313973199,15.743410123057961,15.736312372494199,1.0,True,True,False,False,101
coarse,200.0,400.0,91.2,208.37696795334278,-399.9122733899382,15.74933867587306,15.74199833355606,1.0,True,True,False,False,101
coarse,200.0,400.0,91.25,208.7259540138244,-399.90481083196363,15.755277666061076,15.747694540051219,1.0,True,True,False,False,101
coarse,200.0,400.0,91.3,209.0749334291125,-399.8970437290793,15.761227105742595,15.753401003244148,1.0,True,True,False,False,101
coarse,200.0,400.0,91.35,209.423905933444,-399.8889720872002,15.767187007080311,15.759117734439835,1.0,True,True,False,False,101
coarse,200.0,400.0,91.4,209.77287126106125,-399.88059591247327,15.773157382278553,15.764844744983847,1.0,True,True,False,False,101
coarse,200.0,400.0,91.45,210.12182914621184,-399.87191521127727,15.779138243584004,15.770582046262385,1.0,True,True,False,False,101
coarse,200.0,400.0,91.5,210.4707793231492,-399.8629299902229,15.785129603285283,15.77632964970237,1.0,True,True,False,False,101
coarse,200.0,400.0,91.55,210.81972152613272,-399.8536402561529,15.791131473713156,15.782087566771505,1.0,True,True,False,False,101
