pareto_index,stage,resolution_m,x,y,movement_distance,guaranteed_receive_coverage,possible_receive_coverage,near_area_coverage,direction_available_coverage,clear_ready_coverage,operational_good_coverage,uniform_guaranteed_receive_coverage,uniform_clear_ready_coverage,uniform_operational_good_coverage,worst_diameter_median,worst_diameter_mean,worst_diameter_p90,worst_diameter_p95,worst_diameter_max,unbounded_fraction_of_direction_area,mean_abs_orthogonality_error_deg,orthogonal_80_100_area_coverage,target_sample_count,epsilon_sample_count
353,final_refine_2m,2.0,646.0,390.0,754.5965809623046,1.0,1.0,0.0,1.0,0.25214676034348166,0.25214676034348166,1.0,0.38095238095238093,0.38095238095238093,82.39430927093208,96.87399184714596,191.16572051117961,206.97439822060306,243.23621938188907,0.0,43.249654396483145,0.07582617746552173,1260,9
354,final_refine_2m,2.0,640.0,400.0,754.7184905645283,1.0,1.0,0.0,1.0,0.24977881863127765,0.24977881863127765,1.0,0.3865079365079365,0.3865079365079365,82.29156279119671,96.19910168232022,188.72163408241772,204.35807333055894,239.25137552289712,0.0,42.877451754256455,0.08121259432734843,1260,9
355,final_refine_2m,2.0,630.0,416.0,754.9543032528525,1.0,1.0,0.0,1.0,0.2459016393442623,0.2459016393442623,1.0,0.4,0.4,82.25101634890646,95.29520783752453,185.74400091257928,200.62030865227916,233.54577406668494,0.0,42.31697139110611,0.0824095758521988,1260,9
356,final_refine_2m,2.0,638.0,404.0,755.1556131023592,1.0,1.0,0.0,1.0,0.24873796513140775,0.24873796513140775,1.0,0.3896825396825397,0.3896825396825397,82.19093821839934,95.88889751264762,187.85031895706877,203.2356184271662,237.58477607284476,0.0,42.717836748438295,0.083008066614624,1260,9
357,final_refine_2m,2.0,648.0,388.0,755.2800804999428,1.0,1.0,0.0,1.0,0.2546448087431694,0.2546448087431694,1.0,0.38333333333333336,0.38333333333333336,82.27870038092273,96.89940071534399,191.43092236863666,207.26485830890465,243.75984769449678,0.0,43.298694525961125,0.07403070517824616,1260,9
358,final_refine_2m,2.0,636.0,408.0,755.618951588696,1.0,1.0,0.0,1.0,0.24707259953161592,0.24707259953161592,1.0,0.3880952380952381,0.3880952380952381,82.09583974059792,95.58854782474627,186.99930933869794,202.140490733751,235.96138004538804,0.0,42.559857582392226,0.08360655737704918,1260,9
359,final_refine_2m,2.0,646.0,392.0,755.6321856564872,1.0,1.0,0.0,1.0,0.251496226906063,0.251496226906063,1.0,0.38015873015873014,0.38015873015873014,82.16364578511174,96.56019230020007,190.2747806403217,206.06152767905277,241.96323712396918,0.0,43.13218386110436,0.07582617746552173,1260,9
360,final_refine_2m,2.0,640.0,402.0,755.7803913836347,1.0,1.0,0.0,1.0,0.2504033307311996,0.2504033307311996,1.0,0.3888888888888889,0.3888888888888889,82.07109098510243,95.90056716058706,188.01090565462187,203.4876501441584,238.04488252861307,0.0,42.76270767522207,0.08121259432734843,1260,9
361,final_refine_2m,2.0,630.0,418.0,756.0581988180539,1.0,1.0,0.0,1.0,0.2459016393442623,0.2459016393442623,1.0,0.4,0.4,82.046694265685,95.01858420602433,184.99823815039016,199.8108838132193,232.4338683515688,0.0,42.20646353892818,0.08298204527712724,1260,9
362,final_refine_2m,2.0,638.0,406.0,756.2274790035073,1.0,1.0,0.0,1.0,0.24873796513140775,0.24873796513140775,1.0,0.3896825396825397,0.3896825396825397,81.97476607425438,95.59649399230061,187.1522550689697,202.38202219190003,236.40433448027056,0.0,42.60416455146103,0.083008066614624,1260,9
363,final_refine_2m,2.0,648.0,390.0,756.3094604723651,1.0,1.0,0.0,1.0,0.2546448087431694,0.2546448087431694,1.0,0.38333333333333336,0.38333333333333336,82.04682360507333,96.5831261722118,190.53248978943756,206.34467055919745,242.47503772401498,0.0,43.18065842971049,0.07462919594067136,1260,9
364,refine_50m,50.0,100.0,750.0,756.6372975210778,0.25336976320582877,0.8561020036429873,0.0,0.25336976320582877,0.07049180327868852,0.07049180327868852,0.4992063492063492,0.23333333333333334,0.23333333333333334,52.10302348042735,51.64217837626176,72.8728030280882,75.93299952645962,81.86123194988407,0.0,27.626966858315463,0.0234192037470726,1260,9
365,final_refine_2m,2.0,636.0,410.0,756.7007334475103,1.0,1.0,0.0,1.0,0.24707259953161592,0.24707259953161592,1.0,0.3880952380952381,0.3880952380952381,81.88384339069992,95.30209502443473,186.29363865157148,201.3032230064272,234.80612848994963,0.0,42.44724278179268,0.08360655737704918,1260,9
