x,y,distance_from_s1,angle_from_first_bearing,coverage_ratio,valid_polygon_ratio,diameter_pass_ratio,circle_coverage_pass_ratio,clear_ready_outcome_ratio,median_diameter,p90_diameter,max_valid_diameter,robust_pass_count,target_count,outcome_count,valid_polygon_count,diameter_pass_count,circle_coverage_pass_count,clear_ready_outcome_count,circle_blocked_diameter_pass_count,undefined_target_count,target_radius
1200.0,-1800.0,2163.3307652783938,-56.309932474020215,0.0,1.0,0.0,1.0,0.0,79.58309697703949,80.05615537016607,80.11206270632182,0,9,45,45,0,45,0,0,0,600.0
1200.0,-1800.0,2163.3307652783938,-56.309932474020215,0.0,1.0,0.0,1.0,0.0,76.54057175852995,76.77361101750648,76.79697006091831,0,9,45,45,0,45,0,0,0,900.0
1200.0,-1800.0,2163.3307652783938,-56.309932474020215,0.0,1.0,0.0,0.4222222222222222,0.0,75.54339344516458,76.79377637453977,76.79657147560938,0,9,45,45,0,19,0,0,0,1200.0
1200.0,-1800.0,2163.3307652783938,-56.309932474020215,0.0,1.0,0.0,1.0,0.0,90.13062786935382,92.02310258166588,92.30485997179534,0,9,45,45,0,45,0,0,0,1500.0
1300.0,-1800.0,2220.3603311174516,-54.16234704572171,0.0,1.0,0.0,1.0,0.0,88.64475555017162,89.52005391954236,89.59165356780456,0,9,45,45,0,45,0,0,0,300.0
1300.0,-1800.0,2220.3603311174516,-54.16234704572171,0.0,1.0,0.0,1.0,0.0,83.14277859364189,83.71708722436867,83.79316681187025,0,9,45,45,0,45,0,0,0,600.0
1300.0,-1800.0,2220.3603311174516,-54.16234704572171,0.0,1.0,0.0,1.0,0.0,79.37972261135614,79.69746862428833,79.73827042450431,0,9,45,45,0,45,0,0,0,900.0
1300.0,-1800.0,2220.3603311174516,-54.16234704572171,0.0,1.0,0.0,1.0,0.0,77.60894842286845,77.69576421600449,77.70042011985359,0,9,45,45,0,45,0,0,0,1200.0
1300.0,-1800.0,2220.3603311174516,-54.16234704572171,0.0,1.0,0.0,1.0,0.0,86.99832825977198,88.72140253182832,88.88991042750541,0,9,45,45,0,45,0,0,0,1500.0
1400.0,-1800.0,2280.350850198276,-52.1250163489018,0.0,1.0,0.0,1.0,0.0,93.26707054858,94.27931799916357,94.3659867678083,0,9,45,45,0,45,0,0,0,300.0
1400.0,-1800.0,2280.350850198276,-52.1250163489018,0.0,1.0,0.0,1.0,0.0,87.08917839482409,87.77468953787243,87.87415777486686,0,9,45,45,0,45,0,0,0,600.0
1400.0,-1800.0,2280.350850198276,-52.1250163489018,0.0,1.0,0.0,1.0,0.0,82.59638578758303,83.00597789195035,83.06935218113989,0,9,45,45,0,45,0,0,0,900.0
1400.0,-1800.0,2280.350850198276,-52.1250163489018,0.0,1.0,0.0,1.0,0.0,80.07284373475967,80.23937519376776,80.25514600396723,0,9,45,45,0,45,0,0,0,1200.0
1400.0,-1800.0,2280.350850198276,-52.1250163489018,0.0,1.0,0.0,1.0,0.0,84.23300687420561,85.80456752319093,85.87593215581114,0,9,45,45,0,45,0,0,0,1500.0
1500.0,-1800.0,2343.074902771996,-50.19442890773481,0.0,1.0,0.0,1.0,0.0,98.27787502686886,99.44091515609698,99.54410942541847,0,9,45,45,0,45,0,0,0,300.0
1500.0,-1800.0,2343.074902771996,-50.19442890773481,0.0,1.0,0.0,1.0,0.0,91.42402608711713,92.23187236335946,92.35794518667717,0,9,45,45,0,45,0,0,0,600.0
1500.0,-1800.0,2343.074902771996,-50.19442890773481,0.0,1.0,0.0,1.0,0.0,86.19539841276887,86.70512290262936,86.79629472142335,0,9,45,45,0,45,0,0,0,900.0
1500.0,-1800.0,2343.074902771996,-50.19442890773481,0.0,1.0,0.0,1.0,0.0,82.90007964091959,83.15177173701494,83.18563539511274,0,9,45,45,0,45,0,0,0,1200.0
1500.0,-1800.0,2343.074902771996,-50.19442890773481,0.0,1.0,0.0,0.4222222222222222,0.0,81.81940469350384,83.25343276644006,83.25741468233507,0,9,45,45,0,19,0,0,0,1500.0
1600.0,-1800.0,2408.3189157584593,-48.366460663429805,0.0,1.0,0.0,1.0,0.0,103.67740422433116,105.00626975013981,105.12744244416199,0,9,45,45,0,45,0,0,0,300.0
1600.0,-1800.0,2408.3189157584593,-48.366460663429805,0.0,1.0,0.0,1.0,0.0,96.14873702360818,97.09124080752643,97.24712132376943,0,9,45,45,0,45,0,0,0,600.0
1600.0,-1800.0,2408.3189157584593,-48.366460663429805,0.0,1.0,0.0,1.0,0.0,90.18100512316924,90.8003187056479,90.92456149735298,0,9,45,45,0,45,0,0,0,900.0
1600.0,-1800.0,2408.3189157584593,-48.366460663429805,0.0,1.0,0.0,1.0,0.0,86.09939783799742,86.44278231953066,86.50201724831882,0,9,45,45,0,45,0,0,0,1200.0
1600.0,-1800.0,2408.3189157584593,-48.366460663429805,0.0,1.0,0.0,1.0,0.0,84.1787235609864,84.27279402982657,84.27913098381926,0,9,45,45,0,45,0,0,0,1500.0
1700.0,-1800.0,2475.8836806279896,-46.63657704161672,0.0,1.0,0.0,1.0,0.0,109.46582836626988,110.97674585346587,111.11734615625029,0,9,45,45,0,45,0,0,0,300.0
1700.0,-1800.0,2475.8836806279896,-46.63657704161672,0.0,1.0,0.0,1.0,0.0,101.2644251173591,102.35510625567072,102.5439760795923,0,9,45,45,0,45,0,0,0,600.0
1700.0,-1800.0,2475.8836806279896,-46.63657704161672,0.0,1.0,0.0,1.0,0.0,94.55679836648669,95.29634777773076,95.45894307394447,0,9,45,45,0,45,0,0,0,900.0
1700.0,-1800.0,2475.8836806279896,-46.63657704161672,0.0,1.0,0.0,1.0,0.0,89.67876308707054,90.12150085766413,90.21359633977467,0,9,45,45,0,45,0,0,0,1200.0
1700.0,-1800.0,2475.8836806279896,-46.63657704161672,0.0,1.0,0.0,1.0,0.0,86.93883533190883,87.11929831222292,87.14078543079343,0,9,45,45,0,45,0,0,0,1500.0
1800.0,-1800.0,2545.584412271571,-45.0,0.0,1.0,0.0,1.0,0.0,115.64326211917808,117.35365650575656,117.51513006026967,0,9,45,45,0,45,0,0,0,300.0
1800.0,-1800.0,2545.584412271571,-45.0,0.0,1.0,0.0,1.0,0.0,106.77192882037174,108.02551091684838,108.25052484281849,0,9,45,45,0,45,0,0,0,600.0
1800.0,-1800.0,2545.584412271571,-45.0,0.0,1.0,0.0,1.0,0.0,99.32570889609434,100.19734662938056,100.40355168899158,0,9,45,45,0,45,0,0,0,900.0
1800.0,-1800.0,2545.584412271571,-45.0,0.0,1.0,0.0,1.0,0.0,93.64517640878613,94.19609492974544,94.32866468967447,0,9,45,45,0,45,0,0,0,1200.0
1800.0,-1800.0,2545.584412271571,-45.0,0.0,1.0,0.0,1.0,0.0,90.06504668729849,90.33772289914663,90.38388960354202,0,9,45,45,0,45,0,0,0,1500.0
-500.0,-1700.0,1772.004514666935,-106.38954033403479,0.0,1.0,0.0,1.0,0.0,78.17402376598882,80.4017808317511,80.57341887031394,0,9,45,45,0,45,0,0,0,300.0
-500.0,-1700.0,1772.004514666935,-106.38954033403479,0.0,1.0,0.0,1.0,0.0,100.06287822815095,103.73052717094329,104.40961748948664,0,9,45,45,0,45,0,0,0,600.0
-500.0,-1700.0,1772.004514666935,-106.38954033403479,0.0,1.0,0.0,1.0,0.0,129.5159602419647,135.0439150095963,136.72604745268782,0,9,45,45,0,45,0,0,0,900.0
-500.0,-1700.0,1772.004514666935,-106.38954033403479,0.0,1.0,0.0,1.0,0.0,166.25072001270735,174.21832672250872,177.5740003074216,0,9,45,45,0,45,0,0,0,1200.0
-500.0,-1700.0,1772.004514666935,-106.38954033403479,0.0,1.0,0.0,1.0,0.0,210.20641998185638,221.55559580908073,227.2362386501608,0,9,45,45,0,45,0,0,0,1500.0
-400.0,-1700.0,1746.424919657298,-103.2405199151872,0.0,1.0,0.0,1.0,0.0,74.50517324269065,76.42906215061308,76.5642056712779,0,9,45,45,0,45,0,0,0,300.0
-400.0,-1700.0,1746.424919657298,-103.2405199151872,0.0,1.0,0.0,1.0,0.0,94.6345068861182,97.87808198948161,98.45196497093816,0,9,45,45,0,45,0,0,0,600.0
-400.0,-1700.0,1746.424919657298,-103.2405199151872,0.0,1.0,0.0,1.0,0.0,122.33404027805936,127.27273625572289,128.74678175374473,0,9,45,45,0,45,0,0,0,900.0
-400.0,-1700.0,1746.424919657298,-103.2405199151872,0.0,1.0,0.0,1.0,0.0,157.28855302036246,164.45755902129065,167.46502909454503,0,9,45,45,0,45,0,0,0,1200.0
-400.0,-1700.0,1746.424919657298,-103.2405199151872,0.0,1.0,0.0,1.0,0.0,199.43067398609253,209.72421538452505,214.88014468343877,0,9,45,45,0,45,0,0,0,1500.0
-300.0,-1700.0,1726.2676501632068,-100.00797980144135,0.0,1.0,0.0,1.0,0.0,71.24742386742639,72.89703830041563,73.00006796508345,0,9,45,45,0,45,0,0,0,300.0
-300.0,-1700.0,1726.2676501632068,-100.00797980144135,0.0,1.0,0.0,1.0,0.0,89.62339574611624,92.48603867567135,92.96384845929984,0,9,45,45,0,45,0,0,0,600.0
-300.0,-1700.0,1726.2676501632068,-100.00797980144135,0.0,1.0,0.0,1.0,0.0,115.57996512102262,119.98594503560244,121.26639202116861,0,9,45,45,0,45,0,0,0,900.0
-300.0,-1700.0,1726.2676501632068,-100.00797980144135,0.0,1.0,0.0,1.0,0.0,148.76352583482728,155.20399074678264,157.88357865130558,0,9,45,45,0,45,0,0,0,1200.0
-300.0,-1700.0,1726.2676501632068,-100.00797980144135,0.0,1.0,0.0,1.0,0.0,189.09829435051594,198.41332094841914,203.0779295949586,0,9,45,45,0,45,0,0,0,1500.0
-200.0,-1700.0,1711.724276862369,-96.70983680775694,0.0,1.0,0.0,1.0,0.0,68.39988610031477,69.8008425622412,69.87607852648902,0,9,45,45,0,45,0,0,0,300.0
