rank,x,y,distance_from_s1,angle_from_first_bearing,coverage_ratio,valid_polygon_ratio,diameter_pass_ratio,circle_coverage_pass_ratio,clear_ready_outcome_ratio,median_diameter,p90_diameter,max_valid_diameter,robust_pass_count,target_count,outcome_count,valid_polygon_count,diameter_pass_count,circle_coverage_pass_count,clear_ready_outcome_count,circle_blocked_diameter_pass_count,undefined_target_count
46,600.0,400.0,721.1102550927978,33.690067525979785,0.4,1.0,0.44666666666666666,0.9807407407407407,0.4274074074074074,42.35724130809741,166.6191479856389,254.33755902769016,108,270,1350,1350,603,1324,577,26,0
47,450.0,-600.0,750.0,-53.13010235415598,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,49.691508885008446,152.56257687734936,211.94052897986035,108,270,1350,1350,585,1324,559,26,0
48,450.0,600.0,750.0,53.13010235415598,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,49.69150888500859,152.56257687735007,211.9405289798588,108,270,1350,1350,585,1324,559,26,0
49,500.0,-600.0,781.0249675906655,-50.19442890773481,0.4,1.0,0.4525925925925926,0.9807407407407407,0.43333333333333335,46.3891500550605,144.05702997186606,199.446173390058,108,270,1350,1350,611,1324,585,26,0
50,500.0,600.0,781.0249675906655,50.19442890773481,0.4,1.0,0.4525925925925926,0.9807407407407407,0.43333333333333335,46.3891500550605,144.05702997186697,199.44617339005646,108,270,1350,1350,611,1324,585,26,0
51,650.0,-450.0,790.5694150420949,-34.69515353123397,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,43.60862664171805,142.4995024842127,210.06447730363917,108,270,1350,1350,585,1324,559,26,0
52,650.0,450.0,790.5694150420949,34.69515353123397,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,43.60862664171813,142.49950248421226,210.0644773036394,108,270,1350,1350,585,1324,559,26,0
53,500.0,-650.0,820.0609733428363,-52.43140797117251,0.4,1.0,0.44222222222222224,0.9807407407407407,0.422962962962963,46.765776920341686,137.22938830432577,186.99318296852442,108,270,1350,1350,597,1324,571,26,0
54,500.0,650.0,820.0609733428363,52.43140797117251,0.4,1.0,0.44222222222222224,0.9807407407407407,0.422962962962963,46.76577692034141,137.22938830432528,186.99318296852377,108,270,1350,1350,597,1324,571,26,0
55,500.0,-700.0,860.2325267042627,-54.46232220802562,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,47.29400522763527,131.751759904012,176.86644740986668,108,270,1350,1350,585,1324,559,26,0
56,500.0,700.0,860.2325267042627,54.46232220802562,0.4,1.0,0.43333333333333335,0.9807407407407407,0.4140740740740741,47.294005227635594,131.75175990401178,176.86644740986537,108,270,1350,1350,585,1324,559,26,0
57,600.0,-650.0,884.5903006477066,-47.290610042638534,0.4,1.0,0.45925925925925926,0.9807407407407407,0.44,41.67739585762571,121.82043037792684,165.7774230008101,108,270,1350,1350,620,1324,594,26,0
58,600.0,650.0,884.5903006477066,47.290610042638534,0.4,1.0,0.45925925925925926,0.9807407407407407,0.44,41.67739585762597,121.82043037792654,165.7774230008099,108,270,1350,1350,620,1324,594,26,0
59,550.0,-700.0,890.2246907382428,-51.84277341263094,0.4,1.0,0.46,0.9807407407407407,0.44074074074074077,44.72640122694787,124.35124029917773,166.99634437726894,108,270,1350,1350,621,1324,595,26,0
60,550.0,700.0,890.2246907382428,51.84277341263094,0.4,1.0,0.46,0.9807407407407407,0.44074074074074077,44.72640122694761,124.35124029917685,166.99634437726806,108,270,1350,1350,621,1324,595,26,0
